time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
133.5,6,0,0,0,0,0.6162,165,0,0,0,0,0,0,0,3752,0,0,111,0,0
233.5,6,0,0,0,0,0.640073,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
333.5,6,0,0,0,0,0.59204,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
433.5,6,0,0,0,0,0.547665,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
533.5,6,0,0,0,0,0.704427,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
633.5,6,0,0,0,0,0.757591,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
733.5,6,0,0,0,0,0.570425,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
833.5,6,0,0,0,0,0.637775,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
933.5,6,0,0,0,0,0.591046,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
1033.5,6,0,0,0,0,0.527897,27,0,0,0,0,0,0,0,3765,0,0,111,0,0
1133.5,6,4,1.2,0.24,0.024,2.32448,46,5.00278,0,0.288,0,0,4.0502,0,69,8,0,111,0,0
1233.5,6,0,0.84,0.36,0.0576,2.64189,46,4.08594,0.452373,0.118937,0,0,4.48361,0,108,15,0,111,0,0
1333.5,6,3,1.488,0.5856,0.1104,2.70875,41,4.77112,0.449509,0.122939,0,0,4.68076,0,75,6,0,111,0,0
1433.5,6,1,1.3416,0.7368,0.17304,2.8648,45,5.2977,0.190368,0.0338904,0,0,4.6747,0,79,7,0,111,0,0
1533.5,6,0,0.93912,0.777264,0.233462,3.52333,39,5.01407,0.399173,0.00039073,0,0,5.1173,0,88,7,0,111,0,0
1633.5,6,0,0.657384,0.753288,0.285445,2.74367,39,4.83952,0.404766,0.250031,0,0,4.34499,0,81,7,0,111,0,0
1733.5,6,0,0.460169,0.694664,0.326367,2.96392,41,3.77281,0.409135,0.168512,0,0,4.4859,0,56,6,0,111,0,0
1833.5,6,1,0.622118,0.680155,0.361746,3.16058,47,3.46621,0.394658,0.00897969,0,0,4.82779,0,64,7,0,111,0,0
1933.5,6,0,0.435483,0.631221,0.388693,2.95186,43,2.74833,0.220408,0.00298583,0,0,4.52554,0,44,8,0,111,0,0
2033.5,6,0,0.304838,0.565944,0.406418,3.21595,42,1.79193,0.0428308,0.00883052,0.065536,0,4.90001,0,36,5,0,111,0,0
2133.5,6,0,0.213387,0.495433,0.41532,3.2382,48,1.45718,0.000493806,0.200102,0.000755579,0,4.86326,0,36,5,0,111,0,0
2233.5,6,0,0.149371,0.42622,0.41641,3.41415,45,1.80577,0.237844,0.100853,8.71124e-006,0,4.3982,0,38,6,0,111,0,0
2333.5,6,0,0.104559,0.361888,0.410958,3.21815,45,1.89143,0.110629,0.0183426,1.00434e-007,0,5.02569,0,38,8,0,111,0,0
2433.5,6,0,0.0731916,0.304149,0.400277,3.69825,42,1.65384,0.0337454,0.000211476,1.15792e-009,0,5.53971,0,37,5,0,111,0,0
2533.5,6,0,0.0512341,0.253566,0.385606,3.2159,44,1.77845,0.294738,2.43816e-006,1.33499e-011,0,5.48305,0,38,7,0,111,0,0
2633.5,6,0,0.0358639,0.210025,0.368048,3.81612,50,2.07225,0.363398,0.0218504,1.53914e-013,0,5.50758,0,43,8,0,111,0,0
2733.5,6,0,0.0251047,0.173041,0.348547,3.54049,45,2.69121,0.062248,0.000251918,1.77451e-015,0,5.65632,0,46,9,0,111,0,0
2833.5,6,0,0.0175733,0.141948,0.327887,4.42112,37,1.78402,0.205221,2.90442e-006,2.04588e-017,0,5.66112,0,38,7,0,111,0,0
2933.5,6,0,0.0123013,0.116018,0.3067,3.4916,41,1.89447,0.31784,0.216932,2.35873e-019,0,5.47691,0,43,6,0,111,0,0
3033.5,6,0,0.00861092,0.0945369,0.285484,4.66203,46,1.89584,0.237219,0.118645,2.71944e-021,0,5.27581,0,44,7,0,111,0,0
3133.5,6,0,0.00602764,0.0768351,0.264619,3.29473,44,2.11155,0.453451,0.163597,3.1353e-023,0,5.30131,0,42,8,0,111,0,0
3233.5,6,0,0.00421935,0.0623119,0.244388,3.64507,42,1.44604,0.170857,0.253749,3.61475e-025,0,5.58992,0,42,7,0,111,0,0
3333.5,6,0,0.00295354,0.0504402,0.224993,4.14469,45,2.06801,0.0440361,0.202926,0.02254,0,5.50599,0,40,6,0,111,0,0
3433.5,6,0,0.00206748,0.0407657,0.206571,3.69281,46,1.79888,0.0219825,0.00233957,0.000259869,0,5.49569,0,38,6,0,111,0,0
3533.5,6,0,0.00144724,0.032902,0.189204,3.83365,46,2.04986,0.0821735,0.161581,2.99608e-006,0,5.07065,0,40,11,0,111,0,0
3633.5,6,0,0.00101307,0.0265242,0.172936,3.62673,49,2.16924,0.0482457,0.329863,3.45425e-008,0.0268436,5.36387,0,36,5,0,111,0,0
3733.5,6,0,0.000709146,0.0213612,0.157778,3.78356,54,2.03143,0.000556236,0.00380306,3.98248e-010,0.000309485,5.3048,0,36,5,0,111,0,0
3833.5,6,0,0.000496402,0.0171882,0.143719,3.44344,50,2.04035,0.29567,4.38463e-005,4.59148e-012,3.56812e-006,5.38825,0,46,7,0,111,0,0
3933.5,6,0,0.000347481,0.0138201,0.130729,3.42628,47,1.76745,0.222384,0.200001,5.29362e-014,4.11377e-008,5.10069,0,46,9,0,111,0,0
4033.5,6,0,0.000243237,0.0111047,0.118767,3.47004,46,2.15009,0.206251,0.0160498,6.10313e-016,4.74285e-010,5.3334,0,37,7,0,111,0,0
